"latitude","longitude","potencia"
8.55878,-71.1921,-82
8.55878,-71.1921,-100
8.55878,-71.1921,-95.5
8.55878,-71.1921,-101.5
8.55878,-71.1921,-90.5
8.55878,-71.1921,-88
8.55878,-71.1921,-89.5
8.55878,-71.1921,-87.5
8.55878,-71.1921,-60.5
8.55878,-71.1921,-96
8.55878,-71.1921,-82
8.55878,-71.1921,-77.5
8.55878,-71.1921,-81
8.55908,-71.1919,-85
8.55908,-71.1919,-71
8.55908,-71.1919,-86
8.55908,-71.1919,-77
8.55908,-71.1919,-81.5
8.55908,-71.1919,-74.5
8.55908,-71.1919,-81
8.55908,-71.1919,-88
8.55908,-71.1919,-92.5
8.55908,-71.1919,-85
8.55908,-71.1919,-81
8.55908,-71.1919,-83
8.55908,-71.1919,-76
8.55908,-71.1919,-67
8.55908,-71.1919,-87.5
8.55908,-71.1919,-80
8.55908,-71.1919,-79
8.55908,-71.1919,-73.5
8.55908,-71.1919,-78.5
8.5592,-71.1924,-77.5
8.5592,-71.1924,-74
8.5592,-71.1924,-77
8.5592,-71.1924,-71
8.5592,-71.1924,-78.5
8.5592,-71.1924,-76
8.5592,-71.1924,-75.5
8.5592,-71.1924,-81
8.5592,-71.1924,-89.5
8.5592,-71.1924,-78
8.5592,-71.1924,-86
8.5592,-71.1924,-86.5
8.5592,-71.1924,-91.5
8.5592,-71.1924,-82.5
8.5592,-71.1924,-87.5
8.5592,-71.1924,-84.5
8.5592,-71.1924,-81.5
8.5592,-71.1924,-78
8.5592,-71.1924,-69
8.55929,-71.192,-87.5
8.55929,-71.192,-87.5
